panel	slide name	class	segment	area	nuclei	Segment	NegGeoMean_Hsa_WTA_v1.0	NegGeoSD_Hsa_WTA_v1.0	GenesDetected	GeneDetectionRate	DetectionThreshold	q_norm_qFactors
DSP-1001250007864-D-D11.dcc	WTX	normal3	normal	Geometric Segment	20003.47	100	Geometric Segment	3.11767977142	1.81686096198953	3182	0.171962818849978	>15%	0.491506592505241
DSP-1001250007864-D-D12.dcc	WTX	normal3	normal	Geometric Segment	30229.28	142	Geometric Segment	5.22542952625928	1.61414502059749	4990	0.269671422395158	>15%	0.778218771466631
DSP-1001250007864-D-E01.dcc	WTX	normal3	normal	Geometric Segment	36097.13	185	Geometric Segment	6.63149074116027	1.70601281667384	3577	0.193309554690878	>15%	0.942054302301711
DSP-1001250007864-D-E02.dcc	WTX	normal3	normal	Geometric Segment	22703.07	110	Geometric Segment	4.19066907817595	1.77460550986504	2942	0.158992650237786	>15%	0.573424357922781
DSP-1001250007864-D-E03.dcc	WTX	normal3	normal	Geometric Segment	30029.65	134	Geometric Segment	4.80973764471882	1.68230197356282	4048	0.218763510592304	>15%	0.696301006049091
DSP-1001250007864-D-E04.dcc	WTX	normal3	normal	Geometric Segment	12920.73	65	Geometric Segment	3.12893440600404	1.82760145450128	2656	0.143536532641591	10-15%	0.450547709796471
DSP-1001250007864-D-E05.dcc	WTX	normal3	normal	Geometric Segment	17744.6	91	Geometric Segment	4.16026246512694	1.73953035417628	2740	0.148076091655858	10-15%	0.532465475214011
DSP-1001250007864-D-E06.dcc	WTX	normal3	normal	Geometric Segment	38272.73	163	Geometric Segment	8.49585607605461	1.56268276236185	5343	0.288748378728923	>15%	1.18780759855433
DSP-1001250007864-D-E07.dcc	WTX	normal3	normal	Geometric Segment	34006.59	187	Geometric Segment	6.77141785165857	1.56886671254755	6135	0.331549935149157	>15%	1.06493095042802
DSP-1001250007864-D-E08.dcc	WTX	normal3	normal	Geometric Segment	28535.9	166	Geometric Segment	6.16458640804506	1.66048075554713	5210	0.281560743623	>15%	0.942054302301711
DSP-1001250007864-D-E09.dcc	WTX	normal3	normal	Geometric Segment	23919.73	113	Geometric Segment	4.34274263946368	1.79071562619176	4182	0.226005188067445	>15%	0.696301006049091
DSP-1001250007864-D-E10.dcc	WTX	normal3	normal	Geometric Segment	22439.69	102	Geometric Segment	4.18133463135747	1.78104962506202	3716	0.200821444012105	>15%	0.655342123340321
DSP-1001250007864-D-E11.dcc	WTX	normal3	normal	Geometric Segment	20066.08	108	Geometric Segment	2.75110462771895	1.86394986065682	4741	0.256214872460009	>15%	0.532465475214011
DSP-1001250007864-D-E12.dcc	WTX	normal3	normal	Geometric Segment	23067.79	104	Geometric Segment	4.26274755054504	1.77502443878803	3480	0.188067444876783	>15%	0.655342123340321
DSP-1001250007864-D-F01.dcc	WTX	normal3	normal	Geometric Segment	33416.58	162	Geometric Segment	6.49132250785516	1.68842402894659	4698	0.253891050583658	>15%	1.02397206771925
DSP-1001250007864-D-F02.dcc	WTX	normal4	normal	PanCK+	16012.17	93	PanCK+	8.77484810154869	1.48554724921735	5958	0.321984435797665	>15%	1.26972536397187
DSP-1001250007864-D-F03.dcc	WTX	normal4	normal	PanCK-	127197.96	480	PanCK-	49.3018817727503	1.2614330379004	7561	0.408614353653264	>15%	5.36561363484888
DSP-1001250007864-D-F04.dcc	WTX	normal4	normal	PanCK+	24168.74	187	PanCK+	16.3655115474647	1.34668390244636	8456	0.456982274102897	>15%	2.58040961065251
DSP-1001250007864-D-F05.dcc	WTX	normal4	normal	PanCK-	71727.71	335	PanCK-	17.7606228171344	1.39527859754579	5461	0.295125378296585	>15%	1.96602637002096
DSP-1001250007864-D-F06.dcc	WTX	normal4	normal	PanCK+	34576.91	218	PanCK+	8.39057790667372	1.54485348828922	7098	0.383592736705577	>15%	1.51547866022449
DSP-1001250007864-D-F07.dcc	WTX	normal4	normal	PanCK-	91677.76	329	PanCK-	18.1023578345639	1.35905390878071	5799	0.313391699092088	>15%	1.80219083918588
DSP-1001250007864-D-F08.dcc	WTX	normal4	normal	PanCK+	29351.52	213	PanCK+	7.07281446846444	1.51911694465252	6209	0.335549070471249	>15%	1.14684871584556
DSP-1001250007864-D-F09.dcc	WTX	normal4	normal	PanCK-	85295.1	352	PanCK-	20.4613558978525	1.36026155584244	4797	0.259241245136187	>15%	1.92506748731219
DSP-1001250007864-D-F10.dcc	WTX	normal4	normal	PanCK+	12287.31	84	PanCK+	8.29241289775554	1.53158761272261	5823	0.314688715953307	>15%	1.26972536397187
DSP-1001250007864-D-F11.dcc	WTX	normal4	normal	PanCK-	90680.26	423	PanCK-	33.4059818985858	1.28749620723189	7356	0.397535667963684	>15%	3.563422795663
DSP-1001250007864-D-F12.dcc	WTX	normal4	normal	PanCK+	19644.72	114	PanCK+	7.07137447876809	1.63936442809412	4895	0.264537397319498	>15%	1.2287664812631
DSP-1001250007864-D-G01.dcc	WTX	normal4	normal	PanCK-	56847.48	251	PanCK-	21.6728369138732	1.34271415376756	4162	0.224924340683096	>15%	1.92506748731219
DSP-1001250007864-D-G02.dcc	WTX	normal4	normal	Geometric Segment	11855.13	88	Geometric Segment	4.97503437210262	1.65123227360013	5396	0.291612624297449	>15%	0.819177654175401
DSP-1001250007864-D-G03.dcc	WTX	normal4	normal	Geometric Segment	21459.78	147	Geometric Segment	8.90308893101982	1.47495821758549	7082	0.382728058798098	>15%	1.39260201209818
DSP-1001250007864-D-G04.dcc	WTX	normal4	normal	Geometric Segment	25527.25	148	Geometric Segment	8.04774421407336	1.58857603418449	5514	0.29798962386511	>15%	1.31068424668064
DSP-1001250007864-D-G05.dcc	WTX	normal4	normal	Geometric Segment	25759.32	156	Geometric Segment	18.616718995834	1.36638165794529	7438	0.401967142239516	>15%	2.41657407981743
DSP-1001250007864-D-G06.dcc	WTX	normal4	normal	Geometric Segment	14595.23	100	Geometric Segment	4.64683273224834	1.77762906508957	3848	0.207955036748811	>15%	0.778218771466631
DSP-1001250007864-D-G07.dcc	WTX	normal4	normal	Geometric Segment	18690.46	116	Geometric Segment	8.83823818602618	1.56735531893802	5198	0.280912235192391	>15%	1.26972536397187
DSP-1001250007864-D-G08.dcc	WTX	normal4	normal	Geometric Segment	21113.94	136	Geometric Segment	9.77261963575017	1.46649369024509	6713	0.362786424556853	>15%	1.47451977751572
DSP-1001250007864-D-G09.dcc	WTX	normal4	normal	Geometric Segment	18368.83	96	Geometric Segment	10.6099624978991	1.47889102995522	4863	0.26280804150454	>15%	1.31068424668064
DSP-1001250007864-D-G10.dcc	WTX	normal4	normal	Geometric Segment	17547.88	100	Geometric Segment	8.11044016659847	1.47859514555071	5492	0.296800691742326	>15%	1.02397206771925
DSP-1001250007864-D-G11.dcc	WTX	normal4	normal	Geometric Segment	14923.97	87	Geometric Segment	5.02673586743771	1.63984978387735	4238	0.229031560743623	>15%	0.737259888757861
DSP-1001250007864-D-G12.dcc	WTX	normal4	normal	Geometric Segment	14750.32	100	Geometric Segment	2.14718647287732	1.83474406688007	4365	0.235894941634241	>15%	0.409588827087701
DSP-1001250007864-D-H01.dcc	WTX	disease3	DKD	PanCK+	22152.11	183	PanCK+	18.0893456931702	1.4153906216764	6590	0.356139213143104	>15%	2.08890301814727
