SampleID	UMAP1	UMAP2	class	Segment	Scan	Patient
DSP-1001250007868-B-C10.dcc	8.43782195280183	0.249051260498335	DKD	PanCK-	Scan_05	Pt_05
DSP-1001250007868-B-C12.dcc	8.36452540586579	0.330769705322553	DKD	PanCK-	Scan_05	Pt_05
DSP-1001250007868-B-D02.dcc	-9.73669663240325	3.29988210156279	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D03.dcc	-9.82034817506682	3.09777896359282	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D04.dcc	-9.66327515413176	3.53562037899809	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D07.dcc	-9.70355168153655	3.58062474682646	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D08.dcc	-9.77255192567717	3.40510528042631	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D09.dcc	-9.72202626039397	3.42002360775786	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D10.dcc	-9.62124481965911	3.47379653408842	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D11.dcc	-9.62181225587737	3.48276965573149	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1001250007868-B-D12.dcc	-9.65163079072844	3.50939481213408	DKD	Geometric Segment	Scan_05	Pt_05
DSP-1002510007866-C-D10.dcc	13.1049343032657	1.95959393933134	normal	PanCK+	Scan_06	Pt_06
DSP-1002510007866-C-D11.dcc	8.54023036192048	0.755363869217207	normal	PanCK-	Scan_06	Pt_06
DSP-1002510007866-C-D12.dcc	10.8389459533511	1.98562352612333	normal	PanCK+	Scan_06	Pt_06
DSP-1002510007866-C-E01.dcc	8.5855136794864	0.805149721649458	normal	PanCK-	Scan_06	Pt_06
DSP-1002510007866-C-E02.dcc	13.3705202026187	1.97229497387724	normal	PanCK+	Scan_06	Pt_06
DSP-1002510007866-C-E03.dcc	8.70912512968171	0.913862394836713	normal	PanCK-	Scan_06	Pt_06
DSP-1002510007866-C-E04.dcc	13.3199706954776	2.02768247082548	normal	PanCK+	Scan_06	Pt_06
DSP-1002510007866-C-E05.dcc	8.49814376066316	0.733453678634931	normal	PanCK-	Scan_06	Pt_06
DSP-1002510007866-C-E06.dcc	13.4062190933048	2.0057255502017	normal	PanCK+	Scan_06	Pt_06
DSP-1002510007866-C-E07.dcc	8.59423503110994	0.795084404495527	normal	PanCK-	Scan_06	Pt_06
DSP-1002510007866-C-E08.dcc	13.3354354781925	2.0761830086978	normal	PanCK+	Scan_06	Pt_06
DSP-1002510007866-C-E09.dcc	8.65268382261384	0.876374887970258	normal	PanCK-	Scan_06	Pt_06
DSP-1002510007866-C-E10.dcc	-10.5849260406674	0.563802647140791	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-E11.dcc	-10.6279701309384	0.521082806137373	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-E12.dcc	-10.4876388626279	0.668897556808759	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-F01.dcc	-10.4763320999325	0.67482058956938	normal	Geometric Segment	Scan_06	Pt_06
